п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
677,1074,6537e434c2f29c6ab8f7c79d,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-416,ПиР_1С,ПИР-9,
678,1179,6538f984a04fb531ff865013,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-324,ППЦП,ППЦП-9,
679,241,6537e438c2f29c6ab8f7c7a0,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-229,ПиР_1С,ПИР-3,
680,786,6322f15c09a5f9e7dcb9e0c4,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
681,100,6539588ea04fb531ff8661ca,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ХТПЭК-2,РВП,РВП-2,
682,516,654269ed9c1990ec63a561e2,ИАиС,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-451,ПиР_1С,ПИР-7,
683,28,6537e442c2f29c6ab8f7c7a4,ВолгГМУ,медико-профилактическое дело,32.05.01 Медико-профилактическое дело,504 МПД,ПиР_1С,ПИР-11,
684,727,6538ed66a04fb531ff864b0f,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-461,СИИ,СИИ-6,
686,850,653bb799e189abe05fdf7ec2,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,РИС_1С,РИС-3,
688,43,6537e447c2f29c6ab8f7c7a6,ВолгГМУ,фармацевтический,33.05.01 Фармация,505,ПиР_1С,ПИР-11,
689,413,6538f989a04fb531ff865014,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-228,ППЦП,ППЦП-5,
690,448,653931b5a04fb531ff865d0b,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,СУБД,СУБД-5,
691,1042,65395894a04fb531ff8661cb,ВПИ,ФАМ ВПИ,15.04.04 Автоматизация технологических процессов и производств,ВАЭ-1,РВП,РВП-7,
692,350,65395898a04fb531ff8661cc,ВолгГТУ,ФЭВТ,12.04.01 Приборостроение,ЭТ-1,РВП,РВП-9,
693,289,6538ed6ba04fb531ff864b13,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-21д-22,СИИ,СИИ-10,
694,10,6538ed70a04fb531ff864b17,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
695,733,6330a8b33e21fda8e9108052,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-458,СУБД,СУБД-6,
696,133,6539589ea04fb531ff8661cd,ВолгГТУ,ФПИК,15.03.04 Автоматизация технологических процессов и производств,АВБ-387,РВП,РВП-4,
697,824,6541f93d9c1990ec63a54d34,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,РИС_1С,РИС-3,
698,206,6541f9429c1990ec63a54d39,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,РИС_1С,РИС-1,
699,309,6538ed75a04fb531ff864b1b,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,УТС-320,СИИ,СИИ-14,
700,1125,6537d402c2f29c6ab8f7c457,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-22,ППСА,ППСА-8,
701,30,6537e44cc2f29c6ab8f7c7aa,ВолгГМУ,лечебное дело,31.05.01 Лечебное дело,502,ПиР_1С,ПИР-11,
702,35,653931bfa04fb531ff865d0d,ВА МВД,подготовки следователей,40.05.01 Правовое обеспечение национальной безопасности,301,СУБД,СУБД-1,
703,20,6538f98ea04fb531ff865019,ВолгГМУ,лечебный факультет,31.05.01 Лечебное дело,604,ППЦП,ППЦП-11,
704,,653958a3a04fb531ff8661cf,ВолГАУ,ИТФ,,ИтФомАИ232,РВП,РВП-4,
705,438,6537e451c2f29c6ab8f7c7ac,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,ПиР_1С,ПИР-1,
706,1052,6537e456c2f29c6ab8f7c7af,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-358,ПиР_1С,ПИР-6,
707,825,6538ed7aa04fb531ff864b20,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
708,910,6537e45bc2f29c6ab8f7c7b2,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-321,ПиР_1С,ПИР-9,
709,634,6538f993a04fb531ff86501b,ВолгГТУ,ФТКМ,15.04.01 Машиностроение,СП-1П,ППЦП,ППЦП-8,
710,1040,653958a8a04fb531ff8661d0,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-336,РВП,РВП-7,
711,478,6538ed7fa04fb531ff864b24,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-201,СИИ,СИИ-9,
712,662,6538ed84a04fb531ff864b28,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
713,36,6538ed89a04fb531ff864b2b,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
714,395,6537e460c2f29c6ab8f7c7b4,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ТОНСМ 2.2 п,ПиР_1С,ПИР-3,
715,371,6538ed8ea04fb531ff864b2e,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
716,1205,6537e465c2f29c6ab8f7c7b5,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,МНС-1-22,ПиР_1С,ПИР-7,
717,631,653931c4a04fb531ff865d0f,ВолгГТУ,ФАТ,23.03.03 Эксплуатация транспортно-технологических машин и комплексов,АТ-321,СУБД,СУБД-3,
718,479,6538ed97a04fb531ff864b33,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-201,СИИ,СИИ-9,
719,29,6538ed9ca04fb531ff864b37,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-262,СИИ,СИИ-1,
720,1124,6537d408c2f29c6ab8f7c459,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-22,ППСА,ППСА-8,
721,902,6538f998a04fb531ff86501e,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-229,ППЦП,ППЦП-3,
722,868,653a85c4a60567b8674b92d1,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,УТС-220,РИС_1С,РИС-4,
723,571,6537e469c2f29c6ab8f7c7b8,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭМФ-355,ПиР_1С,ПИР-2,
724,1001,6537e46fc2f29c6ab8f7c7bb,ВолгГТУ,ФТКМ,22.04.02 Металлургия,Тм-2н,ПиР_1С,ПИР-3,
725,16,6538f99ea04fb531ff865020,ВолгГМУ,лечебный факультет,31.05.01 Лечебное дело,601,ППЦП,ППЦП-11,
726,39,6538eda1a04fb531ff864b3a,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
727,106,6538f9a3a04fb531ff865023,ВолгГМУ,лечебное дело,31.05.01 Лечебное дело,410,ППЦП,ППЦП-10,
728,18,6538f9a8a04fb531ff865025,ВолГАУ,,,ЭЭФобЭЭ-212,ППЦП,ППЦП-9,
729,8,6538f9b3a04fb531ff86502a,ВолгГМУ,медико-биологический,06.03.01 Биология,201,ППЦП,ППЦП-11,
730,566,653931c9a04fb531ff865d12,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭМЭ-357,СУБД,СУБД-4,
731,648,6537e474c2f29c6ab8f7c7bd,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
732,872,6538f9b7a04fb531ff86502c,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-221,ППЦП,ППЦП-4,
733,873,6538f9bca04fb531ff865030,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-221,ППЦП,ППЦП-4,
734,12,653958ada04fb531ff8661d1,ВГСПУ,,44.03.01 Педагогическое образование,ТЭ-ТИБ-31,РВП,РВП-9,
735,382,6537e479c2f29c6ab8f7c7bf,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,ПиР_1С,ПИР-1,
736,1122,6537d40dc2f29c6ab8f7c45b,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-22,ППСА,ППСА-8,
737,42,6537e47fc2f29c6ab8f7c7c1,ВолгГМУ,лечебный,31.05.01 Лечебное дело,505,ПиР_1С,ПИР-11,
738,529,6538f9c2a04fb531ff865033,ВолгГТУ,ФАСТиВ,27.04.01 Стандартизация и метрология,СМ-2,ППЦП,ППЦП-5,
740,500,653958b2a04fb531ff8661d2,КТИ,КТИ,29.03.02 Технологии и проектирование текстильных изделий,КТЛ-201,РВП,РВП-8,
741,333,6538eda6a04fb531ff864b3d,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-21д-22,СИИ,СИИ-10,
742,525,6541f94c9c1990ec63a54d3b,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-463,РИС_1С,РИС-1,
743,1121,6537d413c2f29c6ab8f7c45c,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-22,ППСА,ППСА-8,
744,1068,653958b7a04fb531ff8661d4,КТИ,КТИ,"38.03.01 Экономика
        ",КБА-211 св,РВП,РВП-8,
745,838,6538edaca04fb531ff864b40,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,СИИ,СИИ-11,
746,453,6537e484c2f29c6ab8f7c7c4,ВолгГТУ,ФТКМ,15.04.01 Машиностроение,СП-2п,ПиР_1С,ПИР-3,
747,985,6537d418c2f29c6ab8f7c45f,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-22,ППСА,ППСА-1,
748,149,653958c0a04fb531ff8661d7,ВПИ,ФЭИ ВПИ,18.03.01 Химическая технология,ВХТ-401,РВП,РВП-7,
749,214,653eaa56069ffdd0f6a77812,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия ,ПрИн-267,РИС_1С,РИС-1,
750,501,653958c5a04fb531ff8661d9,КТИ,КТИ,29.03.02 Технологии и проектирование текстильных изделий,КТЛ-201,РВП,РВП-8,
751,1180,6538f9c7a04fb531ff865035,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-324,ППЦП,ППЦП-9,
752,274,6538f9cca04fb531ff865037,ВолгГТУ,ФТКМ,22.04.01 Материаловедение и технологии материалов,МВ-2н,ППЦП,ППЦП-7,
753,169,6538f9d1a04fb531ff865039,ВПИ,ФАМ ВПИ,15.04.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВТО-2,ППЦП,ППЦП-1,
754,359,6537d41ec2f29c6ab8f7c463,ВПИ,ФЭИ ВПИ,38.04.01  Экономика ,ВЭМ-1,ППСА,ППСА-4,
755,513,653958caa04fb531ff8661da,КТИ,КТИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТМ-201,РВП,РВП-8,
756,960,6537d423c2f29c6ab8f7c465,ВолгГТУ,ФТИСиТБ ИАиС,20.03.01 Техносферная безопастность,ТБ-1-20,ППСА,ППСА-5,
757,366,6538edb1a04fb531ff864b45,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-406,СИИ,СИИ-3,
758,770,6537d428c2f29c6ab8f7c466,ИАиС,ФТИСиТБ ИАиС,08.04.01 Строительство,СМ-3-22,ППСА,ППСА-2,
759,2,653958d0a04fb531ff8661db,ВолГАУ,эколого-мелиоративный,20.05.01 Пожарная безопасность,ЭМФосПБ-211,РВП,РВП-9,
760,195,653931cea04fb531ff865d13,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-451,СУБД,СУБД-5,
761,851,6538edb6a04fb531ff864b48,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-20,СИИ,СИИ-12,
762,248,6538f9d6a04fb531ff86503d,ВолгГТУ,ФТКМ,15.04.01 машиностроение,СП-2п,ППЦП,ППЦП-7,
763,706,6537e489c2f29c6ab8f7c7c6,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-358,ПиР_1С,ПИР-6,
764,1026,6538edbba04fb531ff864b4b,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,АДП-222,СИИ,СИИ-14,
765,1025,653931d3a04fb531ff865d14,ВолгГТУ,ФТПП,15.03.02 Технологические машины и оборудование,МАП-350,СУБД,СУБД-4,
766,760,6538edc0a04fb531ff864b4e,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
767,391,6537e48fc2f29c6ab8f7c7c8,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭПР-358,ПиР_1С,ПИР-6,
768,244,6537e495c2f29c6ab8f7c7ca,ВолгГТУ,ФТПП,19.04.03 Продукты животного происхождения,ППМ-1,ПиР_1С,ПИР-9,
769,297,6538edc5a04fb531ff864b51,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,Прин-266,СИИ,СИИ-2,
770,182,653931d8a04fb531ff865d15,ВолгГТУ,ФПИК,38.03.02 Менеджмент,ММв-351с,СУБД,СУБД-2,
771,387,6537e49ac2f29c6ab8f7c7cc,ИАиС,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-351,ПиР_1С,ПИР-7,
772,249,6538f9dba04fb531ff86503f,ВолгГТУ,ФТКМ,22.04.02 Металлургия,ТМ-2Н,ППЦП,ППЦП-7,
773,787,6538edcaa04fb531ff864b54,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
774,56,6538edcfa04fb531ff864b57,ВПИ,ФЭИ ВПИ,09.03.04 Программная инженерия,ВИП-208,СИИ,СИИ-3,
775,408,6537e49fc2f29c6ab8f7c7ce,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-359,ПиР_1С,ПИР-11,
776,998,6538edd4a04fb531ff864b5c,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
777,961,6537d42dc2f29c6ab8f7c468,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-21,ППСА,ППСА-6,
778,1206,6537e4a4c2f29c6ab8f7c7d0,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,МНС-1-22,ПиР_1С,ПИР-7,
779,213,6541f9569c1990ec63a54d3e,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия ,ПРИН-268,РИС_1С,РИС-1,
780,465,6537e4aac2f29c6ab8f7c7d2,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,ПиР_1С,ПИР-8,
781,909,6537e4afc2f29c6ab8f7c7d7,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-321,ПиР_1С,ПИР-9,
782,291,6538edd9a04fb531ff864b60,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-41д-20,СИИ,СИИ-10,
783,690,653931dda04fb531ff865d16,ВолгГТУ,ФЭУ,42.03.01 Реклама и связи с общественностью,ЭР-453,СУБД,СУБД-6,
784,442,653931e2a04fb531ff865d17,ВолгГТУ,ФЭУ,42.03.01 Реклама и связи с общественностью,ЭР-353,СУБД,СУБД-4,
785,168,6538f9e0a04fb531ff865042,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-236,ППЦП,ППЦП-2,
786,74,653c18eae189abe05fdf864f,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-424,ППЦП,ППЦП-4,
787,962,6537d433c2f29c6ab8f7c46b,ВолгГТУ,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,Тит-1-21,ППСА,ППСА-11,
788,1058,653958d5a04fb531ff8661dc,ВПИ,ФЭИ ВПИ,18.03.01 Химическая технология,ВХТ-301,РВП,РВП-7,
789,719,6538eddfa04fb531ff864b63,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-462,СИИ,СИИ-6,
790,1144,6537d438c2f29c6ab8f7c46d,ВолгГТУ,ФТИСиТБ ИАиС,23.03.01 Технология транспортных объектов,КБТ-1-20,ППСА,ППСА-2,
791,664,6538f9e9a04fb531ff865046,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-328,ППЦП,ППЦП-6,
792,564,653931e7a04fb531ff865d18,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-459,СУБД,СУБД-6,
793,230,6537e4b4c2f29c6ab8f7c7d9,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-242,ПиР_1С,ПИР-5,
794,737,6538ede4a04fb531ff864b66,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
795,254,6538f9eea04fb531ff865048,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-233,ППЦП,ППЦП-3,
796,671,6537e4b9c2f29c6ab8f7c7dd,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-328,ПиР_1С,ПИР-4,
797,742,6537e4bfc2f29c6ab8f7c7df,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-228,ПиР_1С,ПИР-3,
798,383,6538f87ba04fb531ff864f89,ВолгГТУ,ФТКМ,22.04.01 Материаловедение и технологии материалов,МВ-2н,ППЦП,ППЦП-7,
799,638,6537e4c4c2f29c6ab8f7c7e2,ВолгГТУ,ФАТ,23.03.03 Эксплуатация транспортно- технологических машин и комплексов,АТ-312,ПиР_1С,ПИР-1,
800,85,6537e4cac2f29c6ab8f7c7e5,ВолгГМУ,,31.05.01 Лечебное дело,602,ПиР_1С,ПИР-11,
801,125,653958daa04fb531ff8661dd,ВолгГТУ,ХТФ,"18.04.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ХМАМ-1п,РВП,РВП-3,
802,480,6538ede9a04fb531ff864b6a,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-201,СИИ,СИИ-9,
803,1080,654183409c1990ec63a54963,ВолгГТУ,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ 09.03.02,РИС_1С,СИИ-12,
804,352,6537d43ec2f29c6ab8f7c470,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ОИСД-1-21,ППСА,ППСА-3,
805,1093,6538f9f3a04fb531ff86504b,ВПИ,ФАМ ВПИ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",ВТМ-221,ППЦП,ППЦП-1,
806,81,6538f9f8a04fb531ff86504e,ВолгГТУ,ФТКМ,15.04.01 машиностроение,СП-2п,ППЦП,ППЦП-7,
807,209,653cf497e189abe05fdf8d2e,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,РИС_1С,РИС-2,
808,136,653958dfa04fb531ff8661de,ВолгГТУ,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,ПБ-1-20,РВП,РВП-3,
809,175,6538f9fda04fb531ff865051,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-336,ППЦП,ППЦП-2,
810,28,653931eca04fb531ff865d19,ВА МВД,подготовки экспертов-криминалистов и оперативных сотрудников полиции (ФПЭК и ОСП),40.05.03 Судебная экспертиза,423,СУБД,СУБД-2,
811,1181,6538fa02a04fb531ff865053,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-324,ППЦП,ППЦП-9,
812,22,6538fa07a04fb531ff865056,ВолгГМУ,лечебный факультет,31.05.01 Лечебное дело,306,ППЦП,ППЦП-10,
813,54,6538edeea04fb531ff864b6f,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-206,СИИ,СИИ-3,
814,1098,653931f2a04fb531ff865d1a,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-416,СУБД,СУБД-6,
815,1129,6537d444c2f29c6ab8f7c472,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ОИСД-1-21,ППСА,ППСА-9,
816,360,6538edf3a04fb531ff864b72,ВПИ,ФЭИ ВПИ,09.03.04 Программная инженерия,ВИП-208,СИИ,СИИ-3,
817,739,6538edf7a04fb531ff864b74,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-461,СИИ,СИИ-6,
818,95,6538fa0ba04fb531ff865059,ВолгГМУ,лечебное дело,31.05.01 Лечебное дело,419,ППЦП,ППЦП-10,
819,543,6538edfca04fb531ff864b78,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-361,СИИ,СИИ-7,
820,669,6538fa10a04fb531ff86505c,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-333,ППЦП,ППЦП-5,
821,292,653931f7a04fb531ff865d1c,ВолгГТУ,ФТПП,19.04.03 Продукты питания животного происхождения,ППМ-2,СУБД,СУБД-5,
822,263,6537d449c2f29c6ab8f7c474,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-20,ППСА,ППСА-2,
823,1006,6538fa15a04fb531ff86505f,ВолгГТУ,ФАСТиВ,"24.05.01 Проектирование, производство и эксплуатация ракет и ракетно- космических комплексов",РК-300,ППЦП,ППЦП-5,
824,693,6538fa19a04fb531ff865062,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-221,ППЦП,ППЦП-4,
825,127,653958e4a04fb531ff8661e2,ВолгГТУ,ФЭВТ,12.03.01 Приборостроение,ИИТ-473,РВП,РВП-9,
826,11,6538ee01a04fb531ff864b7b,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
827,826,6538ee06a04fb531ff864b7f,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
828,963,6537d44fc2f29c6ab8f7c476,ВолгГТУ,ФТИСиТБ ИАиС,13.03.01 Теплоэнергетика и теплотехника,Тит-1-21,ППСА,ППСА-11,
829,1207,6537e4cfc2f29c6ab8f7c7e8,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,МНС-1-22,ПиР_1С,ПИР-7,
830,1120,6537d454c2f29c6ab8f7c478,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-22,ППСА,ППСА-8,
831,2,653958e9a04fb531ff8661e3,ВГСПУ,,44.03.01 Педагогическое образование,ЕН-БГБ-51,РВП,РВП-6,
832,757,6538ee0da04fb531ff864b83,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-461,СИИ,СИИ-6,
833,191,6541f9659c1990ec63a54d41,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-262,РИС_1С,РИС-2,
834,308,6538fa1fa04fb531ff865064,ВолгГТУ,ФАСТиВ,"24.05.01 Проектирование, производство и эксплуатация ракет и ракетно- космических комплексов",РК 300,ППЦП,ППЦП-5,
835,611,653b8828ae6c19d5ddcb7d98,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-252,ПиР_1С,ПИР-9,
836,1182,6538fa24a04fb531ff865066,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-324,ППЦП,ППЦП-9,
837,928,6538ee12a04fb531ff864b85,СФ,СФ,09.03.02 Информационные системы и технологии,ИСТ-21д-22,СИИ,СИИ-10,
838,24,6538ee17a04fb531ff864b86,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-261,СИИ,СИИ-1,
839,327,6537d459c2f29c6ab8f7c47a,ИАиС,ФСиЖКХ ИАиС,08.03.01 Строительство,СиОНО-1-20,ППСА,ППСА-3,
840,282,6538fa29a04fb531ff865069,ВолгГТУ,ФАСТиВ,15.03.04 Автоматизация технологических процессов и производств,АТП-321,ППЦП,ППЦП-4,
841,773,6537d45fc2f29c6ab8f7c47c,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-2-22,ППСА,ППСА-9,
842,726,65410e099c1990ec63a53f5b,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-363,РИС_1С,РИС-2,
843,799,6538ee1ca04fb531ff864b89,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-22,СИИ,СИИ-13,
844,120,653958eda04fb531ff8661e4,ВолгГТУ,ХТФ,18.04.01 Химическая технология,ХТМАП-2,РВП,РВП-3,
845,452,6538ee21a04fb531ff864b8c,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
846,736,653931fba04fb531ff865d1d,ВолгГТУ,ФАТ ,23.05.01 Наземные транспортно-технологические средства,АТС-311,СУБД,СУБД-3,
847,399,653958f2a04fb531ff8661e5,ВолгГТУ,ХТФ,"18.03.02 Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии",РХТ-248,РВП,РВП-1,
848,170,6538fa2da04fb531ff86506b,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-236,ППЦП,ППЦП-2,
849,1000,6538ee25a04fb531ff864b90,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
850,19,6538ee2ba04fb531ff864b92,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-367,СИИ,СИИ-5,
851,1064,6538ee2fa04fb531ff864b95,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-261,СИИ,СИИ-1,
852,307,6537d464c2f29c6ab8f7c47e,ВПИ,ФАМ ВПИ,38.04.01  Экономика ,ВЭМ-2,ППСА,ППСА-4,
853,459,65393200a04fb531ff865d20,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-314,СУБД,СУБД-3,
854,77,6538fa32a04fb531ff86506c,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-228,ППЦП,ППЦП-3,
855,111,653958f7a04fb531ff8661e7,ВолгГТУ,ХТФ,18.03.01 Химическая технология,ХТ-242,РВП,РВП-1,
856,301,6537d469c2f29c6ab8f7c480,ВолгГТУ,ФАГР ИАиС,07.03.01 Архитектура,Арх-2-22,ППСА,ППСА-1,
857,29,653958fca04fb531ff8661e9,ВА МВД,подготовки следователей,40.05.01,304,РВП,РВП-6,
858,702,6538ee34a04fb531ff864b97,ВолгГТУ,ФАСТиВ,27.03.04 Управление в технических системах,АДП-222,СИИ,СИИ-14,
859,711,65393206a04fb531ff865d21,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,СУБД,СУБД-7,
860,655,6537e4d9c2f29c6ab8f7c7ea,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
861,21,6538ee39a04fb531ff864b9b,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,СИИ,СИИ-5,
862,1208,6537d46ec2f29c6ab8f7c482,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-20,ППСА,ППСА-10,
