п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
93,1153,6537d1d6c2f29c6ab8f7c363,ВолгГТУ,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-20,ППСА,ППСА-9,
94,253,6538f7bca04fb531ff864f25,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-233,ППЦП,ППЦП-3,
95,988,6537e26dc2f29c6ab8f7c6ec,ВолгГТУ,ФТПП,19.03.03 Продукты питания животного происхождения,ПП-352,ПиР_1С,ПИР-8,
96,818,6538eb1aa04fb531ff864961,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
97,139,65395707a04fb531ff866162,ВПИ,ФЭИ ВПИ,38.04.01 Экономика,ВЭМ-2,РВП,РВП-5,
98,361,6538eb1ea04fb531ff864964,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-406,СИИ,СИИ-3,
99,689,6539305fa04fb531ff865c98,ВолгГТУ,ФЭУ,42.03.01 Реклама и связи с общественностью,ЭР-453,СУБД,СУБД-6,
100,1077,6537e272c2f29c6ab8f7c6ed,ВолгГТУ,ФТКМ,15.03.01 Машиностроение,МС-329,ПиР_1С,ПИР-4,
101,644,653e9f2c069ffdd0f6a7772d,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-261,РИС_1С,РИС-2,
102,46,6539570ca04fb531ff866163,ВолгГМУ,Специалитет,,203,РВП,РВП-9,
103,173,6538f7c1a04fb531ff864f28,ВПИ,ФАМ ВПИ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,ВМ-336,ППЦП,ППЦП-2,
104,376,6537d1dbc2f29c6ab8f7c364,ИАиС,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,ПБ-1-19,ППСА,ППСА-7,
105,381,6537e277c2f29c6ab8f7c6ef,ВолгГТУ,ФТКМ,22.03.02 Металлургия,М-334,ПиР_1С,ПИР-4,
106,637,65393064a04fb531ff865c99,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,СУБД,СУБД-3,
